Branch,Marks[10th],Marks[12th],Gender,Board[10th],Board[12th],Category,GPA 1,Rank,Normalized Rank,CGPA,Current Back,Ever Back,GPA 2,GPA 3,GPA 4,GPA 5,GPA 6,Olympiads Qualified,Technical Projects,Tech Quiz,Engg. Coaching,NTSE Scholarships,Miscellany Tech Events
CSE,95.4,81.8,Female,CBSE,CBSE,GEN,8.59,52657.0,18.80607142857143,8.68,0.0,0.0,7.82,8.76,8.41,9.0,9.5,6.0,2.0,4.0,0.0,6.0,0.0
CSE,89.8,71.8,Female,CBSE,CBSE,GEN,7.94,28764.0,10.272857142857143,7.54,0.0,0.0,7.76,6.94,7.06,7.75,8.0,0.0,0.0,0.0,0.0,6.0,0.0
CSE,90.4,73.16,Male,CBSE,CBSE,GEN,6.6,40000.0,14.285714285714286,6.5,0.0,9.0,6.48,6.0,6.31,6.625,6.94,4.0,3.0,1.0,2.0,2.0,0.0
CSE,96.6,82.4,Female,C.B.S.E.,C.B.S.E.,OBC,8.41,46737.0,16.691785714285714,7.95,0.0,0.0,7.94,7.06,7.47,7.81,9.06,4.0,1.0,3.0,4.0,0.0,0.0
CSE,89.4,83.4,Female,CBSE,CBSE,OBC,7.71,83925.0,29.973214285714285,7.93,0.0,0.0,7.65,7.35,7.18,8.63,9.19,1.0,1.0,0.0,1.0,0.0,0.0
CSE,93.0,70.0,Male,CBSE,CBSE,GEN,6.3,29203.0,10.429642857142857,6.12,0.0,3.0,5.76,6.35,6.0,6.25,6.06,4.0,2.0,2.0,4.0,0.0,0.0
CSE,92.2,76.6,Male,CBSE,CBSE,GEN,6.88,25768.0,9.202857142857143,6.54,0.0,1.0,6.47,6.17,6.45,6.75,6.69,3.0,2.0,2.0,0.0,3.0,0.0
CSE,86.5,92.6,Male,"BOARD OF SECONDARY EDUCATION,ANDHRA PRADESH","BOARD OF INTERMEDIATE EDUCATION,ANDHRA PRADESH",GEN,6.65,19925.0,7.116071428571429,7.01,0.0,0.0,6.71,6.76,6.53,7.38,8.0,2.0,1.0,1.0,2.0,0.0,0.0
CSE,94.0,91.0,Female,ICSE,ISC,GEN,8.71,36742.0,13.122142857142856,8.95,0.0,0.0,8.88,9.12,8.41,9.19,9.56,5.0,1.0,4.0,5.0,0.0,0.0
CSE,86.0,90.0,Male,Rajasthan Board,Central Board,GEN,8.12,27592.0,9.854285714285714,7.85,0.0,0.0,7.71,7.23,7.47,8.25,8.31,1.0,1.0,4.0,1.0,0.0,0.0
CSE,91.6,88.0,Female,CBSE,CBSE,GEN,8.59,25422.0,9.079285714285714,8.58,0.0,0.0,8.65,8.82,7.88,8.94,8.875,3.0,0.0,3.0,3.0,0.0,0.0
CSE,86.5,81.5,Male,CBSE,CBSE,GEN,7.53,45479.0,16.2425,7.43,0.0,0.0,7.53,6.88,6.53,7.65,7.875,7.0,4.0,3.0,6.0,1.0,0.0
CSE,90.0,86.0,Male,ICSE,ICSE,GEN,6.5,23007.0,8.216785714285715,6.02,0.0,10.0,6.2,6.2,4.9,6.2,6.06,5.0,1.0,4.0,5.0,0.0,0.0
CSE,90.2,72.4,Male,CBSE,CBSE,GEN,7.06,24066.0,8.595,6.8,0.0,0.0,6.41,6.06,6.47,7.06,7.75,3.0,2.0,1.0,2.0,1.0,0.0
CSE,89.8,84.0,Male,C.B.S.E.,C.B.S.E.,GEN,6.94,18436.0,6.5842857142857145,6.91,0.0,0.0,6.65,6.35,6.47,7.63,7.43,4.0,0.0,4.0,4.0,0.0,0.0
CSE,75.0,70.0,Female,cbse,bhopal,GEN,5.82,21000.0,7.5,6.5,0.0,12.0,6.06,4.88,5.0,6.5,7.25,1.0,1.0,0.0,1.0,0.0,0.0
CSE,88.4,84.8,Male,CENTRAL BOARD OF SECONDARY EDUCATION,CENTRAL BOARD OF SECONDARY EDUCATION,GEN,7.65,52153.0,18.62607142857143,7.65,0.0,2.0,7.65,7.29,6.94,8.0,8.44,5.0,2.0,3.0,5.0,0.0,0.0
CSE,73.8,82.4,Male,CBSE,CBSE,OBC,6.35,48669.0,17.381785714285716,6.45,0.0,4.0,6.47,6.41,6.18,6.88,7.88,1.0,1.0,0.0,1.0,0.0,0.0
CSE,92.6,92.0,Female,CBSE,CBSE,GEN,8.06,32430.0,11.582142857142857,8.18,0.0,0.0,7.18,7.76,7.88,8.88,9.25,3.0,2.0,1.0,1.0,0.0,0.0
CSE,91.33,86.2,Male,CBSE,CBSE,OBC,7.76,48830.0,17.439285714285713,7.86,0.0,0.0,7.88,7.65,7.82,7.94,8.13,4.0,3.0,1.0,4.0,0.0,0.0
CSE,72.0,62.4,Male,CBSE,NIOS,OBC,6.06,82727.0,29.545357142857142,6.06,0.0,10.0,5.82,6.29,6.0,5.56,6.625,5.0,4.0,1.0,1.0,4.0,0.0
CSE,89.8,88.4,Female,cbse,cbse,GEN,7.54,22356.0,7.984285714285714,7.6,0.0,1.0,7.12,7.76,7.35,8.32,8.75,0.0,0.0,0.0,0.0,0.0,0.0
CSE,86.67,83.5,Male,CBSE,CBSE,GEN,7.65,19009.0,6.788928571428571,7.01,0.0,0.0,6.65,6.35,6.47,7.94,7.44,5.0,2.0,3.0,4.0,1.0,0.0
CSE,82.4,79.6,Female,CBSE BOARD,CBSE BOARD,SC,6.71,157482.0,56.24357142857143,7.23,0.0,0.0,6.59,6.35,6.71,7.38,8.93,5.0,2.0,3.0,5.0,0.0,0.0
CSE,93.0,88.0,Female,CBSE,CBSE,GEN,8.12,33982.0,12.13642857142857,8.04,0.0,0.0,7.82,7.35,7.71,8.19,8.62,6.0,4.0,2.0,4.0,2.0,0.0
CSE,81.0,73.4,Male,C.B.S.E,C.B.S.E,GEN,7.06,22018.0,7.863571428571428,7.01,0.0,0.0,7.12,7.0,6.71,6.38,7.81,8.0,3.0,5.0,8.0,0.0,0.0
ECE,92.28,92.67,Male,ICSE,ISC,GEN,7.94,29181.0,10.421785714285715,7.81,0.0,0.0,7.65,7.82,7.94,7.69,7.88,4.0,3.0,1.0,3.0,1.0,0.0
ECE,89.0,77.0,Male,ICSE,CBSE,GEN,7.18,26086.0,9.316428571428572,6.72,0.0,0.0,7.41,6.47,6.18,6.5,6.44,2.0,1.0,1.0,2.0,0.0,0.0
ECE,77.6,72.4,Male,B.S.E.B,B.S.E.B,GEN,7.59,25865.0,9.2375,7.184,0.0,0.0,7.41,7.35,6.76,6.81,7.19,3.0,2.0,1.0,0.0,3.0,0.0
ECE,94.8,92.6,Female,CBSE,CBSE,GEN,9.12,19850.0,7.089285714285714,9.01,0.0,0.0,9.06,9.0,9.18,9.19,9.0,5.0,2.0,3.0,5.0,0.0,0.0
ECE,92.8,90.0,Male,C.B.S.E,C.B.S.E,GEN,8.12,15535.0,5.548214285714286,7.71,0.0,0.0,7.47,7.29,7.94,7.74,7.44,4.0,2.0,2.0,4.0,0.0,0.0
ECE,91.6,83.4,Male,cbse,cbse,GEN,7.82,24202.0,8.643571428571429,7.15,0.0,0.0,6.41,6.76,6.94,7.69,7.31,6.0,5.0,1.0,6.0,0.0,0.0
ECE,91.2,85.2,Male,CBSE,CBSE,GEN,7.59,25129.0,8.974642857142857,7.22,0.0,0.0,7.29,6.88,7.12,7.44,7.31,2.0,1.0,1.0,2.0,0.0,0.0
ECE,91.4,74.6,Male,cbse,cbse,GEN,6.76,34089.0,12.174642857142857,6.12,0.0,5.0,6.1,6.09,5.95,5.54,5.94,4.0,1.0,3.0,3.0,1.0,0.0
ECE,94.0,85.4,Female,CBSE,CBSE,GEN,8.47,27242.0,9.729285714285714,8.64,0.0,0.0,8.71,8.41,8.53,8.94,8.56,5.0,2.0,3.0,5.0,0.0,0.0
ECE,73.8,69.4,Male,BSEB,CBSE,GEN,7.65,22120.0,7.9,7.5,0.0,0.0,7.0,7.06,7.06,8.25,7.94,2.0,2.0,0.0,1.0,1.0,0.0
ECE,73.0,61.0,Male,BIHAR SCHOOL EXAMINATION BOARD PATNA,NIOS BOARD,GEN,6.71,26534.0,9.476428571428572,6.35,0.0,0.0,6.59,6.24,6.18,6.63,5.75,8.0,4.0,4.0,5.0,3.0,0.0
ECE,94.4,88.0,Female,CBSE,CBSE,GEN,8.47,23388.0,8.352857142857143,8.51,0.0,0.0,8.59,8.29,8.12,9.06,8.88,6.0,3.0,3.0,6.0,0.0,0.0
ECE,80.06,81.06,Male,B.S.E.B.PATNA,B.S.E.B.PATNA,GEN,8.06,32560.0,11.628571428571428,8.63,0.0,0.0,7.82,8.29,8.53,9.31,9.81,3.0,2.0,1.0,3.0,0.0,0.0
ECE,89.3,92.7,Male,Board of Secondary Education,Board of Intermediate Education Andhra Pradesh,GEN,6.89,13556.0,4.841428571428572,6.98,0.0,0.0,6.29,6.32,6.52,8.25,7.63,3.0,2.0,1.0,3.0,0.0,0.0
ECE,92.4,86.0,Female,CBSE,CBSE,GEN,8.47,17523.0,6.258214285714286,8.12,0.0,0.0,8.12,7.82,8.06,8.13,8.19,3.0,1.0,2.0,3.0,0.0,0.0
ECE,94.0,84.0,Male,CBSE,CBSE,GEN,6.9,22494.0,8.03357142857143,6.5,0.0,2.0,5.9,6.3,6.35,7.1,6.06,3.0,1.0,2.0,3.0,0.0,0.0
ECE,87.57,80.2,Male,ICSE,CBSE,GEN,6.12,30296.0,10.82,6.6,0.0,0.0,6.0,6.12,6.88,7.0,7.5,5.0,4.0,1.0,5.0,0.0,0.0
ECE,90.0,96.5,Male,MAHARASHTRA STATE BOARD OF SECONDARY EDUCATION,INTERMEDIATE BOARD OF EDUCATION- ANDHRA PRADESH,GEN,8.29,22578.0,8.063571428571429,8.02,0.0,0.0,7.76,7.76,7.71,8.56,7.13,2.0,1.0,1.0,2.0,0.0,0.0
ECE,93.8,80.8,Male,CBSE,CBSE,GEN,7.65,30324.0,10.83,7.18,0.0,0.0,7.24,6.65,6.94,7.44,7.19,0.0,0.0,0.0,0.0,0.0,0.0
ECE,70.6,76.6,Male,"BIHAR SCHOOL EXAMINATION BOARD, PATNA","BIHAR SCHOOL EXAMINATION BOARD, PATNA",OBC,7.82,45548.0,16.267142857142858,7.67,0.0,0.0,7.35,7.88,7.24,7.81,7.94,5.0,2.0,3.0,5.0,0.0,0.0
ECE,95.0,82.6,Female,ICSE,CBSE,GEN,7.65,29045.0,10.373214285714285,8.0,0.0,0.0,7.76,7.35,8.0,8.5,8.5,4.0,1.0,3.0,1.0,3.0,0.0
ECE,91.4,87.8,Male,CBSE,"Boar of Intermediate Education, A.P.",GEN,8.24,15349.0,5.4817857142857145,8.3,0.0,0.0,8.26,8.24,8.47,8.25,8.44,4.0,3.0,1.0,3.0,1.0,5.0
ECE,91.2,79.2,Male,CBSE,CBSE,GEN,8.12,22640.0,8.085714285714285,7.09,0.0,1.0,8.29,6.94,6.59,5.81,6.68,6.0,5.0,1.0,6.0,0.0,5.0
ECE,88.8,84.0,Male,CBSE,CBSE,GEN,7.76,23000.0,8.214285714285714,7.642,0.0,0.0,7.82,7.41,7.59,7.63,7.75,2.0,1.0,1.0,2.0,0.0,5.0
ECE,87.7,92.2,Male,Board of Secondary Education,Board of Intermediate Education Andhra Pradesh,GEN,8.18,15206.0,5.430714285714286,8.17,0.0,0.0,8.24,7.76,8.24,8.44,7.25,6.0,5.0,1.0,6.0,0.0,4.0
ECE,68.2,61.4,Male,STATE BOARD,STATE BOARD,GEN,6.41,25769.0,9.203214285714285,6.53,0.0,2.0,6.41,6.41,5.882,6.69,6.69,6.0,5.0,1.0,6.0,0.0,4.0
ECE,88.0,90.8,Female,STATE BOARD OF ANDHRA PRADESH,STATE BOARD OF ANDHRA PRADESH,GEN,7.29,20280.0,7.242857142857143,7.1,0.0,0.0,7.0,6.59,6.94,6.63,7.38,7.0,4.0,3.0,5.0,2.0,4.0
ECE,68.6,70.0,Female,B.S.E.B(PATNA),B.S.E.B(H.S.PATNA),OBC,6.24,33190.0,11.853571428571428,6.233,0.0,5.0,7.0,5.9,6.0,6.31,6.13,2.0,0.0,2.0,1.0,1.0,4.0
ECE,69.8,68.2,Male,CBSE,CBSE,SC,6.29,109837.0,39.2275,6.53,0.0,0.0,6.88,6.29,6.18,6.38,7.19,3.0,1.0,2.0,3.0,0.0,5.0
ECE,68.4,65.8,Male,BSEB,CBSE,GEN,7.88,23040.0,8.228571428571428,7.56,0.0,0.0,7.29,7.41,7.41,7.81,7.69,1.0,1.0,0.0,1.0,0.0,5.0
ECE,73.0,71.6,Male,B.S.E.B,B.S.E.B,OBC,6.82,40092.0,14.31857142857143,7.01,0.0,0.0,6.82,6.94,6.88,7.5,7.13,4.0,1.0,3.0,4.0,0.0,5.0
ECE,95.2,86.6,Female,CBSE,CBSE,GEN,9.0,30271.0,10.811071428571429,8.99,0.0,0.0,9.35,8.94,8.76,9.5,9.06,2.0,1.0,1.0,2.0,0.0,5.0
ECE,88.92,72.83,Male,Maharashtra State Board,Maharashtra State Board,SC,7.0,106133.0,37.90464285714286,6.63,0.0,0.0,6.71,6.29,6.29,6.63,6.87,3.0,1.0,2.0,3.0,0.0,0.0
ECE,90.6,77.0,Male,CBSE,CBSE,GEN,8.12,28419.0,10.149642857142856,7.48,0.0,0.0,7.24,7.18,6.94,7.44,7.94,3.0,1.0,2.0,1.0,2.0,5.0
ECE,92.5,85.9,Male,"BOARD OF SECONDARY EDUCATION,ANDHRA PRADESH","BOARD OF INTERMEDIATE EDUCATION,ANDHRA PRADESH",SC,6.18,87334.0,31.190714285714286,6.2,0.0,6.0,6.12,6.59,5.82,6.19,6.31,5.0,3.0,2.0,3.0,2.0,5.0
ECE,86.2,67.2,Male,C.B.S.E,C.B.S.E,GEN,7.12,26014.0,9.290714285714285,6.56,0.0,0.0,6.12,6.18,6.18,6.63,7.125,5.0,3.0,2.0,5.0,0.0,5.0
ECE,96.0,80.0,Male,CBSE,CBSE,GEN,6.55,18639.0,6.656785714285714,7.01,0.0,0.0,6.6,6.7,7.2,7.5,7.4,6.0,5.0,1.0,5.0,1.0,5.0
ECE,85.2,75.6,Male,C.B.S.E,C.B.S.E,OBC,6.76,41549.0,14.838928571428571,6.5,0.0,1.0,6.53,6.41,6.29,6.13,6.68,2.0,1.0,1.0,0.0,2.0,5.0
ECE,76.6,60.1,Male,CBSE,BSEB,GEN,7.35,25977.0,9.2775,6.81,0.0,1.0,6.35,6.35,6.8,6.8125,7.2,4.0,1.0,3.0,4.0,0.0,5.0
ECE,85.0,70.0,Male,CBSE,CBSE,OBC,7.53,37034.0,13.226428571428572,7.41,0.0,0.0,7.06,7.41,7.29,7.69,7.5,3.0,1.0,2.0,3.0,0.0,5.0
ECE,92.0,87.0,Male,CBSE,CBSE,GEN,7.59,27151.0,9.696785714285713,7.81,0.0,0.0,7.76,7.65,7.76,8.31,8.06,9.0,3.0,6.0,2.0,7.0,5.0
ECE,82.2,78.9,Male,BSEB,BSEB,OBC,7.82,26958.0,9.627857142857144,7.63,0.0,0.0,7.94,7.59,7.47,7.31,7.44,4.0,2.0,2.0,1.0,3.0,5.0
ECE,82.4,68.0,Male,cbse,bihar school examination board,GEN,6.65,26527.0,9.473928571428571,6.7,0.0,0.0,6.24,6.59,6.41,7.19,7.12,0.0,0.0,0.0,0.0,0.0,5.0
ECE,89.4,77.4,Female,CBSE,CBSE,OBC,6.82,42106.0,15.037857142857144,6.94,0.0,0.0,7.76,7.06,7.18,8.06,7.44,4.0,2.0,2.0,4.0,0.0,0.0
ECE,80.2,77.0,Female,CBSE,CBSE,GEN,7.41,31059.0,11.0925,8.047,0.0,0.0,7.41,7.47,7.41,9.06,8.69,5.0,4.0,1.0,5.0,0.0,5.0
ECE,84.4,87.8,Male,CBSE,CBSE,GEN,6.82,26800.0,9.571428571428571,6.5,0.0,2.0,7.18,6.6,5.94,5.94,6.2,5.0,4.0,1.0,3.0,2.0,0.0
ECE,92.4,82.6,Female,ICSE,CBSE,OBC,7.29,45531.0,16.26107142857143,6.84,0.0,1.0,6.47,6.18,6.29,7.19,7.25,6.0,3.0,3.0,1.0,5.0,0.0
ECE,91.2,83.4,Male,CBSE,CBSE,GEN,7.24,24322.0,8.686428571428571,7.19,0.0,0.0,7.18,7.18,7.18,7.63,6.75,10.0,3.0,7.0,10.0,0.0,5.0
ECE,89.0,85.4,Male,CBSE,CBSE,GEN,7.06,26325.0,9.401785714285714,7.73,0.0,0.0,7.71,7.76,8.06,7.76,8.06,9.0,4.0,5.0,7.0,2.0,0.0
EEE,89.0,93.0,Male,CBSE,CBSE,GEN,8.0,24218.0,8.649285714285714,8.09,0.0,0.0,7.65,8.24,7.88,8.44,7.68,4.0,2.0,4.0,4.0,0.0,0.0
EEE,78.2,71.0,Male,BSEB,BSEB,SC,6.58,144474.0,51.597857142857144,6.13,0.0,4.0,5.82,6.0,6.18,6.0,6.19,6.0,4.0,2.0,6.0,0.0,5.0
