subject,avg_theory_gp,avg_practical,student_count,fail_rate,difficulty_score
HUMAN PHYSIOLOGY I,4.660377358490566,63.710691823899374,97,0.06289308176100629,29.842767295597483
THERMAL PHYSICS,4.84,0.0,23,0.08,29.8
EXERCISE THERAPY I,4.173913043478261,54.67701863354037,90,0.012422360248447204,29.751552795031056
PHARMACOLOGY,4.319148936170213,0.0,88,0.02127659574468085,29.468085106382976
MATHEMATICAL PHYSICS-III,4.291666666666667,0.0,21,0.0,28.541666666666664
BIOCHEMISTRY,4.788732394366197,30.816901408450704,80,0.04225352112676056,28.16901408450704
CLINICAL ORTHOPAEDICS,4.460992907801418,0.0,83,0.0070921985815602835,28.049645390070925
SOLID STATE PHYSICS,5.066666666666666,0.0,14,0.06666666666666667,28.000000000000004
BASIC GENETICS,5.95273631840796,0.0,265,0.14925373134328357,27.699004975124375
GENERAL MEDICINE,4.641221374045801,0.0,87,0.015267175572519083,27.55725190839695
ENGINEERING DRAWING,6.631578947368421,0.0,18,0.21052631578947367,27.368421052631575
CONCEPTS OF PHYSICAL CHEMISTRY,5.821882951653944,0.0,261,0.1272264631043257,27.25190839694657
ELECTRICITY AND MAGNETISM,6.0,0.0,20,0.14285714285714285,27.142857142857142
ANIMAL SCIENCES,5.821078431372549,0.0,282,0.12254901960784313,27.022058823529406
MOLECULAR BASIS OF LIFE,5.725641025641026,0.0,273,0.11282051282051282,27.01282051282051
CLINICAL NEUROLOGY & PSYCHIATRY,5.2384615384615385,0.0,84,0.06153846153846154,26.884615384615383
EVOLUTION AND BEHAVIOUR,6.059523809523809,0.0,79,0.14285714285714285,26.8452380952381
MICROBIOLOGY,4.785714285714286,0.0,89,0.014285714285714285,26.78571428571429
FUNDAMENTALS OF BIOMECHANICS,5.382978723404255,32.354609929078016,79,0.07092198581560284,26.631205673758867
ELECTROMAGNETIC THEORY,7.571428571428571,0.0,13,0.2857142857142857,26.42857142857143
BASIC  MOLECULAR GENETICS,6.444444444444445,0.0,34,0.16666666666666666,26.111111111111107
CELL BIOLOGY-I,6.326923076923077,0.0,250,0.15384615384615385,26.05769230769231
"CLINICAL OBSTRETICS, GYNAECOLOGY & PAEDIATRICS",5.039370078740157,0.0,95,0.023622047244094488,25.98425196850394
CONCEPTS OF PHYSICS-I,5.560794044665013,0.0,267,0.07444168734491315,25.918114143920594
EXERCISE THERAPY II,5.147286821705427,61.44186046511628,82,0.031007751937984496,25.81395348837209
ADVANCED EXERCISE THERAPEUTICS,5.241935483870968,31.806451612903224,78,0.04032258064516129,25.806451612903228
FUNDAMENTALS OF MICROBIOLOGY-II,5.976,0.0,236,0.112,25.72
HUMAN PHYSIOLOGY II,5.909774436090226,62.21804511278196,82,0.10526315789473684,25.71428571428571
INTRODUCTION TO DATABASE SYSTEM,6.125,32.25,8,0.125,25.624999999999996
PLANT SCIENCES,7.563953488372093,0.0,240,0.26744186046511625,25.55232558139535
FIRST AID & EMERGENCY NURSING,5.281481481481482,32.422222222222224,77,0.037037037037037035,25.444444444444443
CLINICAL CARDIO RESPIRATORY CONDITIONS,5.145038167938932,0.0,84,0.022900763358778626,25.419847328244277
INTRODUCTION TO POSITIONAL ASTRONOMY,5.642857142857143,34.785714285714285,12,0.07142857142857142,25.357142857142854
ECOLOGY,7.019230769230769,0.0,246,0.2087912087912088,25.3434065934066
HEALTH PROMOTION & FITNESS,5.514285714285714,0.0,35,0.05714285714285714,25.28571428571429
CONCEPTS OF INORGANIC CHEMISTRY,6.115485564304462,0.0,247,0.11548556430446194,25.196850393700785
"PHYSIOTHERAPY IN MEDICAL, SURGICAL, OBSTETRICS & GYNAECOLOGY CONDITIONS",7.829268292682927,71.47967479674797,110,0.2845528455284553,25.081300813008127
PROTOTYPING ELECTRONICS WITH ARDUINO,5.0,44.0,2,0.0,25.0
CHEMISTRY-II,7.222222222222222,37.22222222222222,8,0.2222222222222222,25.0
PHILOSOPHY,6.666666666666667,0.0,38,0.16666666666666666,24.999999999999996
ELECTROTHERAPY II,5.155555555555556,61.36296296296296,82,0.014814814814814815,24.962962962962962
EVIDENCE BASED PRACTICE,5.317073170731708,0.0,82,0.024390243902439025,24.634146341463413
FUNDAMENTALS OF BIOCHEMISTRY-II,6.6753623188405795,0.0,215,0.15942028985507245,24.594202898550723
PATHOLOGY,5.6484375,0.0,76,0.0546875,24.4921875
SOCIOLOGY,5.3768115942028984,0.0,84,0.021739130434782608,24.202898550724637
CONCEPTS OF ORGANIC CHEMISTRY,6.53125,0.0,220,0.13636363636363635,24.16193181818182
BASIC MATHEMATICS FOR BIOLOGISTS,5.979166666666667,0.0,258,0.08072916666666667,24.140625
PSYCHOLOGY,5.838235294117647,0.0,81,0.0661764705882353,24.117647058823533
COMPUTER FUNDAMENTALS,5.181818181818182,35.45454545454545,11,0.0,24.09090909090909
GENERAL SURGERY,5.658914728682171,0.0,87,0.046511627906976744,24.031007751937985
PHYSIOTHERAPY IN NEUROLOGICAL CONDITIONS,6.024193548387097,66.18548387096774,110,0.08064516129032258,23.911290322580644
CONCEPTS OF MICROBIAL ECOLOGY AND DIVERSITY,6.278846153846154,0.0,92,0.10576923076923077,23.894230769230766
CHEMISTRY-I,6.333333333333333,38.888888888888886,9,0.1111111111111111,23.888888888888893
PRINCIPLES OF BIOPROCESS ENGINEERING AND TECHNOLOGY,5.907849829351536,0.0,195,0.06825938566552901,23.87372013651877
FOOD AND DAIRY BIOTECHNOLOGY,6.769230769230769,0.0,39,0.15384615384615385,23.846153846153847
VALUES AND ETHICS,7.00655737704918,0.0,209,0.17704918032786884,23.81967213114754
ADVANCED PHYSICAL & FUNCTIONAL DIAGNOSIS,5.495934959349594,66.71544715447155,79,0.024390243902439025,23.739837398373986
METABOLISM-II,6.541666666666667,0.0,45,0.125,23.541666666666668
KINESIOLOGY,5.777777777777778,34.24603174603175,80,0.047619047619047616,23.492063492063494
RESEARCH METHODOLOGY,6.084615384615384,0.0,86,0.07692307692307693,23.423076923076927
HUMAN PHYSIOLOGY,7.0212765957446805,0.0,45,0.1702127659574468,23.404255319148938
FIRST AID & LIFE SUPPORT,7.641025641025641,0.0,38,0.23076923076923078,23.33333333333333
FERMENTATION TECHNOLOGY,5.656028368794326,0.0,201,0.031914893617021274,23.315602836879435
GENERAL VIROLOGY,6.45993031358885,0.0,204,0.11149825783972125,23.275261324041814
NANOMATERIALS AND APPLICATIONS,6.785714285714286,0.0,14,0.14285714285714285,23.21428571428571
PRINCIPLES OF ENVIRONMENTAL BIOTECHNOLOGY,6.498269896193771,0.0,191,0.11072664359861592,23.044982698961938
ENGLISH & COMMUNICATION SKILLS,5.733333333333333,34.28333333333333,32,0.03333333333333333,23.0
ANALYTICAL TECHNIQUES,7.4,0.0,15,0.2,23.0
BASIC BIOSTATISTICS,6.2722063037249285,0.0,228,0.08595988538681948,22.936962750716333
BASIC ANIMAL BIOTECHNOLOGY,7.508571428571429,0.0,139,0.2057142857142857,22.74285714285714
FUNDAMENTALS OF BIOCHEMISTRY-I,6.586705202312139,0.0,243,0.11271676300578035,22.702312138728324
BASIC MOLECULAR BIOLOGY-I,7.294117647058823,0.0,222,0.17956656346749225,22.507739938080498
DIAGNOSTIC BIOCHEMISTRY,7.166666666666667,0.0,45,0.16666666666666666,22.5
PRINCIPLES OF BIOANALYSIS,6.7492447129909365,0.0,214,0.12386706948640483,22.447129909365565
FUNDAMENTALS OF MICROBIOLOGY-I,6.556195965417867,0.0,245,0.1037463976945245,22.40634005763689
ANALYTICAL TECHNIQUES IN BIOLOGY,6.349397590361446,0.0,219,0.08132530120481928,22.319277108433738
POLLUTION CONTROL AND ENVIRONMENTAL ANALYSIS,6.5754716981132075,0.0,91,0.10377358490566038,22.31132075471698
PHYSIOTHERAPY IN SPORTS & ALLIED THERAPEUTICS,6.42741935483871,34.21774193548387,112,0.08870967741935484,22.298387096774192
CONCEPTS OF PHYSICS-II,6.774774774774775,0.0,216,0.12312312312312312,22.28228228228228
PHYSIOTHERAPY IN GERIATRIC & HAND CONDITIONS,7.178861788617886,34.260162601626014,112,0.16260162601626016,22.235772357723576
CELL BIOLOGY-II,7.041916167664671,0.0,227,0.1467065868263473,22.125748502994007
SOIL FERTILITY AND PLANT NUTRITION,6.5479452054794525,0.0,65,0.0958904109589041,22.05479452054794
COMMUNITY MEDICINE,6.419354838709677,0.0,82,0.08064516129032258,21.935483870967744
ENGLISH & COMMUNICATION SKILLS II,7.879032258064516,39.725806451612904,77,0.22580645161290322,21.895161290322584
PHARMACEUTICAL QUALITY CONTROL AND QUALITY ASSURANCE,6.491150442477876,0.0,166,0.084070796460177,21.747787610619472
ELECTROTHERAPY I,6.701612903225806,65.69354838709677,74,0.10483870967741936,21.733870967741936
PHYSIOTHERAPY IN ORTHOPAEDIC CONDITIONS,6.308943089430894,63.78861788617886,113,0.06504065040650407,21.707317073170735
LIFE STYLE DISEASES & MANAGEMENT,9.036144578313253,0.0,73,0.3373493975903614,21.686746987951807
PLANT BIOTECHNOLOGY,7.094444444444444,0.0,146,0.1388888888888889,21.47222222222222
ETHICS & ADMINISTRATION,6.540322580645161,0.0,81,0.08064516129032258,21.33064516129032
ENZYMOLOGY,7.042553191489362,0.0,45,0.1276595744680851,21.170212765957444
PREVENTIVE & COMMUNITY PHYSIOTHERAPY,7.975609756097561,36.609756097560975,113,0.21951219512195122,21.097560975609753
FOOD AND DAIRY MICROBIOLOGY,6.916398713826367,0.0,210,0.11254019292604502,21.045016077170416
HUMAN NUTRITION,6.466666666666667,0.0,54,0.06666666666666667,20.999999999999996
QUANTUM MECHANICS AND APPLICATIONS,5.8125,0.0,14,0.0,20.937499999999996
BIOMOLECULES AND NUTRITION,6.916666666666667,0.0,46,0.10416666666666667,20.625
METABOLISM-I,6.5,0.0,46,0.0625,20.625
FOUNDATIONS OF IMMUNOLOGY,7.086687306501548,0.0,227,0.11764705882352941,20.44891640866873
BASIC MOLECULAR BIOLOGY-II,6.275449101796407,0.0,209,0.03592814371257485,20.41916167664671
ENGLISH LANGUAGE AND LITERATURE,6.9581005586592175,34.54189944134078,252,0.10335195530726257,20.37709497206704
FUNDAMENTALS OF OMICS TECHNOLOGIES,7.689320388349515,0.0,88,0.17475728155339806,20.29126213592233
CONCEPTS OF GENETIC ENGINEERING,6.616071428571429,0.0,212,0.06547619047619048,20.193452380952383
MICROBIAL PHYSIOLOGY,7.147058823529412,0.0,85,0.11764705882352941,20.14705882352941
BIOPHYSICS,6.667673716012085,0.0,227,0.06948640483383686,20.13595166163142
STATISTICS-IV,6.0,38.5,2,0.0,20.0
TOXICOLOGY,7.0,0.0,107,0.1,20.0
INTRODUCTORY DEVELOPMENTAL BIOLOGY,6.909574468085107,0.0,146,0.09042553191489362,19.973404255319146
BASIC MOLECULAR GENETICS,6.813471502590674,0.0,152,0.07772020725388601,19.818652849740936
PLANT BIOCHEMISTRY,7.1063829787234045,0.0,42,0.10638297872340426,19.78723404255319
BASIC BUSINESS BIOTECHNOLOGY,8.045714285714286,0.0,134,0.2,19.771428571428572
WAVES AND OPTICS,6.0476190476190474,0.0,20,0.0,19.761904761904763
PHYSIOTHERAPY IN CARDIORESPIRATORY CONDITIONS,7.266129032258065,67.4758064516129,114,0.12096774193548387,19.71774193548387
BIOINFORMATICS,7.565217391304348,0.0,202,0.14906832298136646,19.627329192546586
"SOCIETY, GOVERNANCE AND INTERNATIONAL STUDIES",6.964601769911504,31.761061946902654,98,0.08849557522123894,19.601769911504423
ERGONOMICS,8.609756097560975,0.0,118,0.24390243902439024,19.146341463414636
BASIC FORENSIC BIOTECHNOLOGY,7.48122866894198,0.0,189,0.1296928327645051,19.07849829351536
ENZYME TECHNOLOGY,7.680851063829787,0.0,42,0.14893617021276595,19.042553191489358
COMPUTER APPLICATIONS,7.266129032258065,38.435483870967744,73,0.10483870967741936,18.91129032258064
BASIC AGRICULTURAL MICROBIOLOGY,7.43,0.0,85,0.12,18.85
DIGITAL SYSTEMS AND APPLICATIONS,6.25,0.0,17,0.0,18.75
MEDICAL MICROBIOLOGY,7.31,0.0,89,0.1,18.450000000000003
BIOSTATISTICS,7.338582677165355,0.0,79,0.10236220472440945,18.425196850393696
BIOENGINEERING,6.642276422764228,0.0,85,0.032520325203252036,18.41463414634146
ENGLISH & COMMUNICATION SKILLS I,7.103896103896104,35.54545454545455,52,0.07792207792207792,18.376623376623378
MICROBIAL GENETICS,7.455445544554456,0.0,84,0.10891089108910891,18.168316831683168
BASIC MEDICAL BIOTECHNOLOGY,7.1085714285714285,0.0,144,0.06857142857142857,17.885714285714286
COSMETICS IN DAILY LIFE,7.526315789473684,0.0,19,0.10526315789473684,17.63157894736842
CRITICAL THINKING AND LOGIC,6.830985915492958,0.0,159,0.014084507042253521,16.549295774647888
ENVIRONMENTAL SUSTAINABILITY & CLIMATE CHANGE,6.785714285714286,0.0,14,0.0,16.07142857142857
STATISTICAL MECHANICS,8.357142857142858,0.0,14,0.07142857142857142,11.785714285714285
